order,order_name,year,month,geo_fips,state_fips,county_fips,state_abbrev,county_name,producers,milk_pounds,row_type,mappable
1,Northeast,2025,December,36001.0,36,1.0,NY,Albany,3.0,2455000.0,county,1
1,Northeast,2025,December,36003.0,36,3.0,NY,Allegany,25.0,2933000.0,county,1
1,Northeast,2025,December,36007.0,36,7.0,NY,Broome,22.0,14437000.0,county,1
1,Northeast,2025,December,36009.0,36,9.0,NY,Cattaraugus,27.0,20930000.0,county,1
1,Northeast,2025,December,36011.0,36,11.0,NY,Cayuga,67.0,128809000.0,county,1
1,Northeast,2025,December,36013.0,36,13.0,NY,Chautauqua,22.0,11576000.0,county,1
1,Northeast,2025,December,36015.0,36,15.0,NY,Chemung,10.0,1744000.0,county,1
1,Northeast,2025,December,36017.0,36,17.0,NY,Chenango,86.0,12116000.0,county,1
1,Northeast,2025,December,36019.0,36,19.0,NY,Clinton,51.0,33670000.0,county,1
1,Northeast,2025,December,36021.0,36,21.0,NY,Columbia,7.0,8782000.0,county,1
1,Northeast,2025,December,36023.0,36,23.0,NY,Cortland,54.0,32827000.0,county,1
1,Northeast,2025,December,36025.0,36,25.0,NY,Delaware,45.0,7559000.0,county,1
1,Northeast,2025,December,36027.0,36,27.0,NY,Dutchess,12.0,2847000.0,county,1
1,Northeast,2025,December,36029.0,36,29.0,NY,Erie,26.0,16436000.0,county,1
1,Northeast,2025,December,36031.0,36,31.0,NY,Essex,3.0,543000.0,county,1
1,Northeast,2025,December,36033.0,36,33.0,NY,Franklin,114.0,38910000.0,county,1
1,Northeast,2025,December,36035.0,36,35.0,NY,Fulton,5.0,504000.0,county,1
1,Northeast,2025,December,36037.0,36,37.0,NY,Genesee,37.0,76319000.0,county,1
1,Northeast,2025,December,36039.0,36,39.0,NY,Greene,6.0,398000.0,county,1
1,Northeast,2025,December,36043.0,36,43.0,NY,Herkimer,75.0,23291000.0,county,1
1,Northeast,2025,December,36045.0,36,45.0,NY,Jefferson,67.0,62224000.0,county,1
1,Northeast,2025,December,36049.0,36,49.0,NY,Lewis,66.0,21667000.0,county,1
1,Northeast,2025,December,36051.0,36,51.0,NY,Livingston,29.0,48049000.0,county,1
1,Northeast,2025,December,36053.0,36,53.0,NY,Madison,95.0,28310000.0,county,1
1,Northeast,2025,December,36055.0,36,55.0,NY,Monroe,3.0,1522000.0,county,1
1,Northeast,2025,December,36057.0,36,57.0,NY,Montgomery,147.0,28116000.0,county,1
1,Northeast,2025,December,36063.0,36,63.0,NY,Niagara,4.0,7718000.0,county,1
1,Northeast,2025,December,36065.0,36,65.0,NY,Oneida,104.0,29971000.0,county,1
1,Northeast,2025,December,36067.0,36,67.0,NY,Onondaga,39.0,60266000.0,county,1
1,Northeast,2025,December,36069.0,36,69.0,NY,Ontario,89.0,64390000.0,county,1
1,Northeast,2025,December,36071.0,36,71.0,NY,Orange,16.0,1702000.0,county,1
1,Northeast,2025,December,36073.0,36,73.0,NY,Orleans,6.0,4153000.0,county,1
1,Northeast,2025,December,36075.0,36,75.0,NY,Oswego,11.0,6112000.0,county,1
1,Northeast,2025,December,36077.0,36,77.0,NY,Otsego,74.0,10707000.0,county,1
1,Northeast,2025,December,36083.0,36,83.0,NY,Rensselaer,22.0,23707000.0,county,1
1,Northeast,2025,December,36091.0,36,91.0,NY,Saratoga,10.0,22552000.0,county,1
1,Northeast,2025,December,36095.0,36,95.0,NY,Schoharie,29.0,6914000.0,county,1
1,Northeast,2025,December,36097.0,36,97.0,NY,Schuyler,10.0,21027000.0,county,1
1,Northeast,2025,December,36099.0,36,99.0,NY,Seneca,65.0,8977000.0,county,1
1,Northeast,2025,December,36089.0,36,89.0,NY,St. Lawrence,130.0,80307000.0,county,1
