geo_fips,state_abbrev,county_name,total_producers,total_milk_pounds,n_orders,orders,region
26005.0,MI,Allegan,27.0,35568743.0,1,FO33,Upper Midwest
26007.0,MI,Alpena,9.0,4209209.0,1,FO33,Upper Midwest
26011.0,MI,Arenac,7.0,9393720.0,1,FO33,Upper Midwest
26015.0,MI,Barry,19.0,28634649.0,1,FO33,Upper Midwest
26021.0,MI,Berrien,5.0,2686160.0,1,FO33,Upper Midwest
26023.0,MI,Branch,5.0,3100587.0,1,FO33,Upper Midwest
26025.0,MI,Calhoun,12.0,16072164.0,1,FO33,Upper Midwest
26029.0,MI,Charlevoix,4.0,847584.0,1,FO33,Upper Midwest
26033.0,MI,Chippewa,4.0,353690.0,1,FO33,Upper Midwest
26035.0,MI,Clare,14.0,3296119.0,1,FO33,Upper Midwest
26037.0,MI,Clinton,32.0,86393335.0,1,FO33,Upper Midwest
26043.0,MI,Dickinson,3.0,1355375.0,1,FO30,Upper Midwest
26045.0,MI,Eaton,11.0,1091682.0,1,FO33,Upper Midwest
26051.0,MI,Gladwin,3.0,2292826.0,1,FO33,Upper Midwest
26057.0,MI,Gratiot,22.0,76044030.0,1,FO33,Upper Midwest
26059.0,MI,Hillsdale,9.0,3599525.0,1,FO33,Upper Midwest
26063.0,MI,Huron,46.0,80462236.0,1,FO33,Upper Midwest
26065.0,MI,Ingham,12.0,11943541.0,1,FO33,Upper Midwest
26067.0,MI,Ionia,26.0,39713639.0,1,FO33,Upper Midwest
26069.0,MI,Iosco,8.0,4893834.0,1,FO33,Upper Midwest
26073.0,MI,Isabella,20.0,12530015.0,1,FO33,Upper Midwest
26075.0,MI,Jackson,10.0,4212831.0,1,FO33,Upper Midwest
26077.0,MI,Kalamazoo,7.0,19831509.0,1,FO33,Upper Midwest
26081.0,MI,Kent,13.0,17392438.0,1,FO33,Upper Midwest
26087.0,MI,Lapeer,6.0,728808.0,1,FO33,Upper Midwest
26091.0,MI,Lenawee,15.0,46479415.0,1,FO33,Upper Midwest
26093.0,MI,Livingston,5.0,3483842.0,1,FO33,Upper Midwest
26105.0,MI,Mason,5.0,698918.0,1,FO33,Upper Midwest
26107.0,MI,Mecosta,9.0,4484940.0,1,FO33,Upper Midwest
26109.0,MI,Menominee 1/,23.0,7649069.0,2,FO30+FO33,Upper Midwest
26113.0,MI,Missaukee,29.0,52594363.0,1,FO33,Upper Midwest
26117.0,MI,Montcalm,34.0,14048469.0,1,FO33,Upper Midwest
26119.0,MI,Montmorency,5.0,1045103.0,1,FO33,Upper Midwest
26121.0,MI,Muskegon,13.0,18517546.0,1,FO33,Upper Midwest
26123.0,MI,Newaygo,22.0,11713578.0,1,FO33,Upper Midwest
26129.0,MI,Ogemaw,18.0,9037097.0,1,FO33,Upper Midwest
26133.0,MI,Osceola,17.0,22505367.0,1,FO33,Upper Midwest
26135.0,MI,Oscoda,3.0,347758.0,1,FO33,Upper Midwest
26139.0,MI,Ottawa,38.0,56748990.0,1,FO33,Upper Midwest
26145.0,MI,Saginaw,10.0,2905638.0,1,FO33,Upper Midwest
26147.0,MI,Stclair,5.0,1564310.0,1,FO33,Upper Midwest
26149.0,MI,St. Joseph,15.0,4542788.0,2,FO30+FO33,Upper Midwest
