plant_name,city,state,dec_order,validation,county,county_fips,lat,lon,dec_order_name,region,pooled_dec2025,on_dec_map
Byrne Cortlandville,Cortland,NY,1,AMS 3359 December column,CORTLAND,36023,42.59613,-76.145474,FO1 Northeast,Northeast,True,True
C. F. Burger Creamery,Detroit,MI,33,AMS 3359 December column,WAYNE,26163,42.33261,-83.217933,FO33 Mideast,Upper Midwest,True,True
CFD Next,Reading,PA,1,AMS 3359 December column,BERKS,42011,40.364226,-75.908729,FO1 Northeast,Northeast,True,True
DFA dba Country Fresh,Grand Rapids,MI,33,AMS 3359 December column,KENT,26081,42.963793,-85.626605,FO33 Mideast,Upper Midwest,True,True
DFA dba Country Fresh Jilberts,Marquette,MI,33,AMS 3359 December column,MARQUETTE,26103,46.486961,-87.494598,FO33 Mideast,Upper Midwest,True,True
DFA dba Dean Dairy,Sharpsville,PA,33,AMS 3359 December column,MERCER,42085,41.263653,-80.336921,FO33 Mideast,Northeast,True,True
DFA dba Garelick Farms,Rensselaer,NY,1,AMS 3359 December column,RENSSELAER,36083,42.699991,-73.629889,FO1 Northeast,Northeast,True,True
DFA dba Lehigh Valley Dairies,Lansdale,PA,1,AMS 3359 December column,MONTGOMERY,42091,40.169886,-75.313634,FO1 Northeast,Northeast,True,True
DFA dba Swiss Premium Dairy,Lebanon,PA,1,AMS 3359 December column,LEBANON,42075,40.341615,-76.442891,FO1 Northeast,Northeast,True,True
Dutch Valley Food,Sunbury,PA,1,AMS 3359 December column,NORTHUMBERLAND,42097,40.873395,-76.682108,FO1 Northeast,Northeast,True,True
Fairlife,Coopersville,MI,33,AMS 3359 December column,OTTAWA,26139,42.909362,-86.021326,FO33 Mideast,Upper Midwest,True,True
Guernsey Farms Dairy,Northville,MI,33,AMS 3359 December column,WAYNE,26163,42.33261,-83.217933,FO33 Mideast,Upper Midwest,True,True
GW Packaging,Douglassville,PA,1,AMS 3359 December column,BERKS,42011,40.364226,-75.908729,FO1 Northeast,Northeast,True,True
HP Hood,Barre,VT,1,AMS 3359 December column,WASHINGTON,50023,44.241925,-72.58392,FO1 Northeast,Northeast,True,True
HP Hood,Batavia,NY,1,AMS 3359 December column,GENESEE,36037,42.999625,-78.173095,FO1 Northeast,Northeast,True,True
HP Hood,Oneida,NY,1,AMS 3359 December column,MADISON,36053,42.984471,-75.717386,FO1 Northeast,Northeast,True,True
