order,state,fips,county
30,MN,27073,Lac qui Parle
30,MN,27083,Lyon
30,MN,27085,McLeod
30,MN,27093,Meeker
30,MN,27103,Nicollet
30,MN,27113,Pennington
30,MN,27121,Pope
30,MN,27127,Redwood
30,MN,27147,Steele
30,MN,27153,Todd
30,MN,27161,Waseca
30,MN,27009,Benton
30,MN,27019,Carver
30,MN,27029,Clearwater
30,MN,27039,Dodge
30,MN,27051,Grant
30,MN,27057,Hubbard
30,MN,27067,Kandiyohi
30,MN,27089,Marshall
30,MN,27091,Martin
30,MN,27095,Mille Lacs
30,MN,27097,Morrison
30,MN,27099,Mower
30,MN,27109,Olmsted
30,MN,27111,Otter Tail
30,MN,27115,Pine
30,MN,27119,Polk
30,MN,27129,Renville
30,MN,27141,Sherburne
30,MN,27145,Stearns
30,MN,27149,Stevens
30,MN,27157,Wabasha
30,MN,27163,Washington
30,MN,27171,Wright
30,MN,27077,Lake of the Woods
30,MN,27137,St. Louis
30,MN,27001,Aitkin
30,MN,27003,Anoka
30,MN,27011,Big Stone
30,MN,27017,Carlton
30,MN,27025,Chisago
30,MN,27035,Crow Wing
30,MN,27037,Dakota
30,MN,27041,Douglas
30,MN,27043,Faribault
30,MN,27045,Fillmore
30,MN,27053,Hennepin
30,MN,27059,Isanti
30,MN,27063,Jackson
30,MN,27065,Kanabec
30,MN,27069,Kittson
30,MN,27071,Koochiching
30,MN,27079,Le Sueur
30,MN,27087,Mahnomen
30,MN,27101,Murray
30,MN,27107,Norman
30,MN,27125,Red Lake
30,MN,27131,Rice
30,MN,27143,Sibley
30,MN,27159,Wadena
30,MN,27169,Winona
30,MN,27005,Becker
30,MN,27013,Blue Earth
30,MN,27023,Chippewa
30,MN,27033,Cottonwood
30,MN,27047,Freeborn
30,MN,27061,Itasca
30,MN,27075,Lake
30,MN,27123,Ramsey
30,MN,27135,Roseau
30,MN,27151,Swift
30,MN,27155,Traverse
30,MN,27165,Watonwan
30,MN,27167,Wilkin
30,MN,27173,Yellow Medicine
30,MN,27007,Beltrami
30,MN,27015,Brown
30,MN,27021,Cass
30,MN,27027,Clay
30,MN,27031,Cook
30,MN,27049,Goodhue
30,MN,27055,Houston
30,MN,27139,Scott
30,WI,55029,Door
30,WI,55033,Dunn
30,WI,55039,Fond du Lac
30,WI,55045,Green
30,WI,55063,La Crosse
30,WI,55069,Lincoln
30,WI,55073,Marathon
30,WI,55081,Monroe
30,WI,55095,Polk
30,WI,55103,Richland
30,WI,55115,Shawano
30,WI,55129,Washburn
30,WI,55141,Wood
30,WI,55003,Ashland
30,WI,55005,Barron
30,WI,55007,Bayfield
30,WI,55017,Chippewa
30,WI,55025,Dane
30,WI,55101,Racine
30,WI,55107,Rusk
30,WI,55111,Sauk
30,WI,55113,Sawyer
30,WI,55119,Taylor
30,WI,55123,Vernon
30,WI,55125,Vilas
30,WI,55133,Waukesha
30,WI,55139,Winnebago
30,WI,55011,Buffalo
30,WI,55013,Burnett
30,WI,55019,Clark
30,WI,55021,Columbia
30,WI,55015,Calumet
30,WI,55027,Dodge
30,WI,55053,Jackson
30,WI,55067,Langlade
30,WI,55078,Menominee
30,WI,55087,Outagamie
30,WI,55099,Price
30,WI,55109,St. Croix
30,WI,55121,Trempealeau
30,WI,55135,Waupaca
30,WI,55035,Eau Claire
30,WI,55037,Florence
30,WI,55041,Forest
30,WI,55047,Green Lake
30,WI,55049,Iowa
30,WI,55055,Jefferson
30,WI,55057,Juneau
30,WI,55059,Kenosha
30,WI,55065,Lafayette
30,WI,55075,Marinette
30,WI,55077,Marquette
30,WI,55083,Oconto
30,WI,55085,Oneida
30,WI,55091,Pepin
30,WI,55093,Pierce
30,WI,55097,Portage
30,WI,55061,Kewaunee
30,WI,55031,Douglas
30,WI,55051,Iron
30,WI,55071,Manitowoc
30,WI,55079,Milwaukee
30,WI,55089,Ozaukee
30,WI,55131,Washington
30,WI,55001,Adams
30,WI,55105,Rock
30,WI,55117,Sheboygan
30,WI,55127,Walworth
30,WI,55009,Brown
30,WI,55137,Waushara
30,MI,26041,Delta
30,MI,26043,Dickinson
30,MI,26071,Iron
30,MI,26131,Ontonagon
30,MI,26109,Menominee
30,MI,26053,Gogebic
1,VT,50005,Caledonia
1,VT,50019,Orleans
1,VT,50003,Bennington
1,VT,50007,Chittenden
1,VT,50011,Franklin
1,VT,50015,Lamoille
1,VT,50021,Rutland
1,VT,50025,Windham
