order,state,mapped,restricted,compiled_total,printed_total,reconciles
30,MN,225128100,27352442,252480542,252480542,True
30,WI,828539075,6367359,834906434,834906434,True
30,MI,7382162,0,7382162,7382162,True
33,MI,824638921,5168684,829807605,829807605,True
33,NY,53262452,8628023,61890475,61890475,True
33,PA,79532507,946518,80479025,80479025,True
33,WI,0,3267185,3267185,3267185,True
33,MN,0,190420,190420,190420,True
32,MN,6879970,1329115,8209085,8209085,True
32,WI,26348790,3529555,29878345,29878345,True
32,MI,0,2427818,2427818,2427818,True
5,PA,10538018,2757838,13295856,13295856,True
5,MI,0,33195682,33195682,33195682,True
