plant_name,city,state,dec_order,validation,county,county_fips,lat,lon,dec_order_name,region,pooled_dec2025,on_dec_map
Agri-Mark,Cabot,VT,1,AMS 3359 December column,WASHINGTON,50023,44.241925,-72.58392,FO1 Northeast,Northeast,True,True
Agri-Mark,Chateaugay,NY,1,AMS 3359 December column,FRANKLIN,36033,44.712835,-74.344365,FO1 Northeast,Northeast,True,True
Agri-Mark,Middlebury,VT,1,AMS 3359 December column,ADDISON,50001,44.06247,-73.166759,FO1 Northeast,Northeast,True,True
Arla Foods Production,Hollandtown,WI,30,AMS 3359 December column,BROWN,55009,44.497198,-88.031843,FO30 Upper Midwest,Upper Midwest,True,True
Associated Milk Producers,Jim Falls,WI,30,AMS 3359 December column,CHIPPEWA,55017,44.986588,-91.32738,FO30 Upper Midwest,Upper Midwest,True,True
Associated Milk Producers,Paynesville,MN,30,AMS 3359 December column,STEARNS,27145,45.55783,-94.360801,FO30 Upper Midwest,Upper Midwest,True,True
BelGioioso Cheese,Pulaski,WI,30,AMS 3359 December column,BROWN,55009,44.497198,-88.031843,FO30 Upper Midwest,Upper Midwest,True,True
Bongards' Creameries,Perham,MN,30,AMS 3359 December column,OTTER TAIL,27111,46.405065,-95.793598,FO30 Upper Midwest,Upper Midwest,True,True
Burnett Dairy Coop dba Cady Cheese,Wilson,WI,30,AMS 3359 December column,SAINT CROIX,55109,45.018036,-92.579597,FO30 Upper Midwest,Upper Midwest,True,True
Cedar Valley Cheese,Belgium,WI,30,AMS 3359 December column,OZAUKEE,55089,43.32038,-87.949891,FO30 Upper Midwest,Upper Midwest,True,True
Chula Vista Cheese,Browntown,WI,30,AMS 3359 December column,GREEN,55045,42.670633,-89.576089,FO30 Upper Midwest,Upper Midwest,True,True
Continental Dairy Facilities,Coopersville,MI,33,AMS 3359 December column,OTTAWA,26139,42.909362,-86.021326,FO33 Mideast,Upper Midwest,True,True
Cooperative Regions of Organic Producer Pools,Chaseburg,WI,30,AMS 3359 December column,VERNON,55123,43.605782,-90.836755,FO30 Upper Midwest,Upper Midwest,True,True
Dairy Farmers of America,Cass City,MI,33,AMS 3359 December column,TUSCOLA,26157,43.429727,-83.435718,FO33 Mideast,Upper Midwest,True,True
Dairy Farmers of America,Fond du Lac,WI,30,AMS 3359 December column,FOND DU LAC,55039,43.76493,-88.486885,FO30 Upper Midwest,Upper Midwest,True,True
Dairy Farmers of America,Middlebury Center,PA,1,AMS 3359 December column,TIOGA,42117,41.815409,-77.207281,FO1 Northeast,Northeast,True,True
Dairy Farmers of America,New Wilmington,PA,33,AMS 3359 December column,LAWRENCE,42073,40.986592,-80.336662,FO33 Mideast,Northeast,True,True
Dairy Farmers of America,Reading,PA,1,AMS 3359 December column,BERKS,42011,40.364226,-75.908729,FO1 Northeast,Northeast,True,True
Dairy State Cheese,Rudolph,WI,30,AMS 3359 December column,WOOD,55141,44.478782,-89.963901,FO30 Upper Midwest,Upper Midwest,True,True
Decatur Dairy,Brodhead,WI,30,AMS 3359 December column,GREEN,55045,42.670633,-89.576089,FO30 Upper Midwest,Upper Midwest,True,True
Eau Galle Cheese Factory,Durand,WI,30,AMS 3359 December column,PEPIN,55091,44.590724,-91.989241,FO30 Upper Midwest,Upper Midwest,True,True
Ellsworth Cooperative Creamery,Ellsworth,WI,30,AMS 3359 December column,PIERCE,55093,44.771766,-92.544547,FO30 Upper Midwest,Upper Midwest,True,True
FarmFirst Dairy Cooperative,Kewaskum,WI,30,AMS 3359 December column,WASHINGTON,55131,43.347344,-88.215167,FO30 Upper Midwest,Upper Midwest,True,True
First District Association,Litchfield,MN,30,AMS 3359 December column,MEEKER,27093,45.136368,-94.482983,FO30 Upper Midwest,Upper Midwest,True,True
Foremost Farms,Appleton,WI,30,AMS 3359 December column,OUTAGAMIE,55087,44.309508,-88.400738,FO30 Upper Midwest,Upper Midwest,True,True
