# FO 33 (Mideast) — Producer Milk By State and County — December 2025 (MICHIGAN block)
# Source: https://www.fmmaclev.com/Statistical_Report/Past_Years/Prod202512.pdf  (retrieved 2026-07-10)
# Printed: TOTAL FOR MICHIGAN 705 producers, 829,807,605 lbs;  ORDER 33 TOTAL 3,278 / 1,696,762,512.
# columns: COUNTY  county_code  producers  pounds

ALLEGAN 005 27 35,568,743
ALPENA 007 9 4,209,209
ARENAC 011 7 9,393,720
BARRY 015 19 28,634,649
BERRIEN 021 5 2,686,160
BRANCH 023 5 3,100,587
CALHOUN 025 12 16,072,164
CHARLEVOIX 029 4 847,584
CHIPPEWA 033 4 353,690
CLARE 035 14 3,296,119
CLINTON 037 32 86,393,335
EATON 045 11 1,091,682
GLADWIN 051 3 2,292,826
GRATIOT 057 22 76,044,030
HILLSDALE 059 9 3,599,525
HURON 063 46 80,462,236
INGHAM 065 12 11,943,541
IONIA 067 26 39,713,639
IOSCO 069 8 4,893,834
ISABELLA 073 20 12,530,015
JACKSON 075 10 4,212,831
KALAMAZOO 077 7 19,831,509
KENT 081 13 17,392,438
LAPEER 087 6 728,808
LENAWEE 091 15 46,479,415
LIVINGSTON 093 5 3,483,842
MASON 105 5 698,918
MECOSTA 107 9 4,484,940
MENOMINEE 109 7 1,644,069
MISSAUKEE 113 29 52,594,363
MONTCALM 117 34 14,048,469
MONTMORENCY 119 5 1,045,103
MUSKEGON 121 13 18,517,546
NEWAYGO 123 22 11,713,578
OGEMAW 129 18 9,037,097
OSCEOLA 133 17 22,505,367
OSCODA 135 3 347,758
OTTAWA 139 38 56,748,990
SAGINAW 145 10 2,905,638
STCLAIR 147 5 1,564,310
STJOSEPH 149 10 4,521,001
SANILAC 151 55 52,077,730
SHIAWASSEE 155 7 3,302,142
TUSCOLA 157 29 25,383,741
VANBUREN 159 5 24,056,880
WASHTENAW 161 6 1,737,021
WEXFORD 165 3 448,129
