report_year,reference_month,plant_type,plant_name,city,state,december_fmmo_order,class_i_differential,report_title,source_slug,published_date
2025,December,Distributing,Byrne Cortlandville,Cortland,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,C. F. Burger Creamery,Detroit,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,CFD Next,Reading,PA,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Country Fresh,Grand Rapids,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Country Fresh Jilberts,Marquette,MI,33,3.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Dean Dairy,Sharpsville,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Garelick Farms,Rensselaer,NY,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Lehigh Valley Dairies,Lansdale,PA,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,DFA dba Swiss Premium Dairy,Lebanon,PA,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Dutch Valley Food,Sunbury,PA,1,4.10,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Fairlife,Coopersville,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Guernsey Farms Dairy,Northville,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,GW Packaging,Douglassville,PA,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,HP Hood,Barre,VT,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,HP Hood,Batavia,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,HP Hood,Oneida,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,HP Hood,Vernon,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Hudson Valley Fresh Bottling,Kingston,NY,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Kemps,Cedarburg,WI,30,3.10,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Kemps,Minneapolis,MN,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,King Brothers Dairy,Schuylerville,NY,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Kwik Trip,LaCrosse,WI,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Lamers Dairy,Appleton,WI,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Lucerne Dairy,Hatfield,PA,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Marburger Farm Dairy,Evans City,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Maryland & Virginia Milk Producers ,Philadelphia,PA,1,4.60,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Meijer Distribution,Holland,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Michigan Dairy,Livonia,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Noah W Kreider & Sons,Manheim,PA,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Pittsburg Special T-Dairy,Pittsburgh,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Prairie Farms Dairy,Battle Creek,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Prairie Farms dba East Side Jersey Dairy,Woodbury,MN,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Ronnybrook Farm Dairy,Ancramdale,NY,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Rutter Bros Dairy,York,PA,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Saputo Dairy Foods,Delhi,NY,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Schneider's Dairy,Pittsburgh,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Schreiber Foods,Beloit,WI,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Schreiber Foods,Grand Rapids,MI,33,3.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,St. Paul Beverage Solutions,St. Paul,MN,30,2.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Steuben Foods,Elma,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Stewarts Shops Corporation,Greenfield Center,NY,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Trickling Springs,Chambersburg,PA,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Turkey Hill Dairy,Conestoga,PA,1,4.30,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Turner Dairy Farms,Pittsburgh,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Ultra Dairy,East Syracuse,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,United Dairy,Uniontown,PA,33,4.00,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Upstate Farms Dairy,Syracuse,NY,1,3.90,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Valley Farms Dairy,Williamsport,PA,1,4.10,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Wawa Dairy Farms,Media,PA,1,4.40,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
2025,December,Distributing,Worcester Creameries,Roxbury,NY,1,4.20,Regulated Pool Plant Lists,AMS_3359,01/27/2026 07:25:00
